	placename	longitude	latitude	freq	geometry	id
82	Calcutta	7301545.803733902	3533789.308562491	68.0	POINT (7301545.803733902 3533789.308562491)	92
83	Lemberg	-169150.64361798685	2163590.8290401585	91.0	POINT (-169150.64361798685 2163590.8290401585)	79
84	Bonn	-202234.07607502473	2336405.3264402263	67.0	POINT (-202234.07607502473 2336405.3264402263)	95
85	Wilna	965092.8735605925	2869401.6673197807	125.0	POINT (965092.8735605925 2869401.6673197807)	68
86	Dünaburg	1012992.379044435	3014693.606032333	230.0	POINT (1012992.379044435 3014693.606032333)	50
87	Philadelphia	-5745174.431944727	5005918.656004601	66.0	POINT (-5745174.431944727 5005918.656004601)	96
88	Fellin	897332.334970462	3268620.492421947	70.0	POINT (897332.334970462 3268620.492421947)	90
89	Narwa	1015977.9709466662	3412144.192641985	87.0	POINT (1015977.9709466662 3412144.192641985)	80
90	Helsingfors	819018.8269950927	3456030.1307487898	72.0	POINT (819018.8269950927 3456030.1307487898)	89
91	Tours	-693153.6880907537	2010091.5144379602	69.0	POINT (-693153.6880907537 2010091.5144379602)	91
92	Taschkent	4442596.587274897	3226951.442730373	72.0	POINT (4442596.587274897 3226951.442730373)	87
93	Oger	876414.3341201585	3089720.345257755	83.0	POINT (876414.3341201585 3089720.345257755)	81
94	Rom	209123.62397420188	1359666.7874678357	2291.0	POINT (209123.62397420188 1359666.7874678357)	6
95	Kreutzburg	957392.4356909883	3072750.3051594626	93.0	POINT (957392.4356909883 3072750.3051594626)	78
96	Riga	843557.4062178921	3097649.308430635			1
