placename	latitude	longitude	calendar
Dirschau	54.09242	18.77787	g
Chur	46.84986	9.53287	g
Elbing	54.1522	19.40884	g
Cattaro	42.42067	18.76825	j
Galacz	45.43687	28.05028	g
Marienburg	54.03591	19.0266	g
Simla	31.10442	77.16662	g
Havanna	23.13302	-82.38304	g
Sünderland	54.90465	-1.38222	g
Manchester	53.48095	-2.23743	g
Cuxhaven	53.86828	8.69902	g
Goldingen	47.26477	8.96167	g
Frankreich	46.0	2.0	g
Möttau	50.45357	8.40042	g
Lausanne	46.516	6.63282	g
Lille	50.63297	3.05858	g
Kahira	30.06263	31.24967	g
Coblenz	50.35357	7.57883	g
Pleskau	57.8136	28.3496	j
Detmold	51.93855	8.87318	g
Gumbinnen	54.59222	22.19972	g
Niederrhein	51.490733	6.692922	g
San Francisco	37.77493	-122.41942	g
Nieder-Elbe	53.78893	9.42576	g
Elbe	52.08333	10.28333	g
Kaluga	54.5293	36.27542	j
Skutari	41.02274	29.01366	j
Ischl	47.71109	13.61893	g
Veracruz	19.18095	-96.1429	g
Southampton	50.90395	-1.40428	g
Oger	56.8162	24.61401	j
Gatschina	59.57639	30.12833	j
Taganrog	47.23627	38.9053	j
Melbourne	-37.814	144.96332	g
Paderborn	51.71905	8.75439	g
Karlsbad	48.90617	8.50412	g
Smolensk	54.7818	32.0401	j
Rom	41.89193	12.51133	g
Gießen	50.58727	8.67554	g
Baku	40.37767	49.89201	j
Tschernigow	51.50551	31.28487	j
Jerusalem	31.76904	35.21633	j
Syra	37.44466	24.9429	j
Hadersleben	55.24943	9.48771	g
Ulm	48.39841	9.99155	g
Kreutzburg	56.51068	25.86117	g
Galatz	45.43687	28.05028	g
Lodz	51.77058	19.47395	g
Malaga	36.72016	-4.42034	g
Witebsk	55.1904	30.2049	g
Erlangen	49.59099	11.00783	g
Wesel	51.6669	6.62037	g
Homburg	47.63469	9.00756	g
Sigmaringen	48.08829	9.23033	g
Coburg	50.25937	10.96384	g
Mecklenburg	53.8427	11.4633	g
Chicago	41.85003	-87.65005	g
Abo	60.45148	22.26869	g
Ems	50.33544	7.71369	g
Wladimir	56.13655	40.39658	j
St. Gallen	47.42391	9.37477	g
Pillau	54.65455	19.90929	g
Brest	48.39029	-4.48628	g
Gera	50.88029	12.08187	g
Tula	54.19609	37.61822	j
Lindau	47.54612	9.68431	g
Buenos Aires	-34.61315	-58.37723	g
Montevideo	-34.90328	-56.18816	g
Werro	57.83389	27.01944	j
Nishni-Nowgorod	56.32867	44.00205	j
Polangen	55.9175	21.06861	j
Osnabrück	52.27264	8.0498	g
Kowno	54.90272	23.90961	j
Dover	51.12598	1.31257	g
Pensa	53.20066	45.00464	j
Bromberg	53.1235	18.00762	g
Woronesh	51.67204	39.1843	j
Marburg	50.80904	8.77069	g
Sellin	54.37846	13.69394	g
Tambow	52.73169	41.44326	j
Kostroma	57.76647	40.92686	j
Portsmouth	50.79899	-1.09125	g
Damaskus	33.5102	36.29128	j
Minden	52.28953	8.91455	g
Macao	22.20056	113.54611	g
Schaffhausen	47.69732	8.63493	g
Pskow	57.8136	28.3496	j
San Sebastian	43.31283	-1.97499	g
Santander	43.46472	-3.80444	g
Ludwigsburg	48.89731	9.19161	g
Wittenberg	44.8272	-89.16956	g
Newcastle	54.97328	-1.61396	g
Nyborg	55.31274	10.78964	g
Poltawa	49.58925	34.55367	j
Lüneburg	53.2509	10.41409	g
Thorn	53.01375	18.59814	g
